study_tag	study_accession	reported_trait	cohorts	imputation_panel	variant_count	ftp_path
EST_HDL_P	GCST90449387	Concentration of HDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449387/GCST90449387.tsv.gz
EST_HDL_size	GCST90449388	Average diameter for HDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449388/GCST90449388.tsv.gz
EST_HDL_TG	GCST90449389	Triglycerides in HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449389/GCST90449389.tsv.gz
EST_His	GCST90449390	Histidine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449390/GCST90449390.tsv.gz
EST_IDL_CE_pct	GCST90449391	Cholesteryl esters to total lipids ratio in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449391/GCST90449391.tsv.gz
EST_IDL_CE	GCST90449392	Cholesteryl esters in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449392/GCST90449392.tsv.gz
EST_IDL_C_pct	GCST90449393	Cholesterol to total lipids ratio in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449393/GCST90449393.tsv.gz
EST_IDL_C	GCST90449394	Cholesterol in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449394/GCST90449394.tsv.gz
EST_IDL_FC_pct	GCST90449395	Free cholesterol to total lipids ratio in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449395/GCST90449395.tsv.gz
EST_IDL_FC	GCST90449396	Free cholesterol in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449396/GCST90449396.tsv.gz
EST_IDL_L	GCST90449397	Total lipids in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449397/GCST90449397.tsv.gz
EST_IDL_PL_pct	GCST90449398	Phospholipids to total lipids ratio in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449398/GCST90449398.tsv.gz
EST_IDL_PL	GCST90449399	Phospholipids in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449399/GCST90449399.tsv.gz
EST_IDL_P	GCST90449400	Concentration of IDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449400/GCST90449400.tsv.gz
EST_IDL_TG_pct	GCST90449401	Triglycerides to total lipids ratio in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449401/GCST90449401.tsv.gz
EST_IDL_TG	GCST90449402	Triglycerides in IDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449402/GCST90449402.tsv.gz
EST_Ile	GCST90449403	Isoleucine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449403/GCST90449403.tsv.gz
EST_Lactate	GCST90449404	Lactate	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449404/GCST90449404.tsv.gz
EST_LA_pct	GCST90449405	Ratio of linoleic acid to total fatty acids	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449405/GCST90449405.tsv.gz
EST_LA	GCST90449406	Linoleic acid	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449406/GCST90449406.tsv.gz
EST_LDL_CE	GCST90449407	Cholesteryl esters in LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449407/GCST90449407.tsv.gz
EST_LDL_C	GCST90449408	LDL cholesterol	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449408/GCST90449408.tsv.gz
EST_LDL_FC	GCST90449409	Free cholesterol in LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449409/GCST90449409.tsv.gz
EST_LDL_L	GCST90449410	Total lipids in LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449410/GCST90449410.tsv.gz
EST_LDL_PL	GCST90449411	Phospholipids in LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449411/GCST90449411.tsv.gz
EST_LDL_P	GCST90449412	Concentration of LDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449412/GCST90449412.tsv.gz
EST_LDL_size	GCST90449413	Average diameter for LDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449413/GCST90449413.tsv.gz
EST_LDL_TG	GCST90449414	Triglycerides in LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449414/GCST90449414.tsv.gz
EST_Leu	GCST90449415	Leucine	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449415/GCST90449415.tsv.gz
EST_L_HDL_CE_pct	GCST90449416	Cholesteryl esters to total lipids ratio in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449416/GCST90449416.tsv.gz
EST_L_HDL_CE	GCST90449417	Cholesteryl esters in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449417/GCST90449417.tsv.gz
EST_L_HDL_C_pct	GCST90449418	Cholesterol to total lipids ratio in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449418/GCST90449418.tsv.gz
EST_L_HDL_C	GCST90449419	Cholesterol in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449419/GCST90449419.tsv.gz
EST_L_HDL_FC_pct	GCST90449420	Free cholesterol to total lipids ratio in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449420/GCST90449420.tsv.gz
EST_L_HDL_FC	GCST90449421	Free cholesterol in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449421/GCST90449421.tsv.gz
EST_L_HDL_L	GCST90449422	Total lipids in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449422/GCST90449422.tsv.gz
EST_L_HDL_PL_pct	GCST90449423	Phospholipids to total lipids ratio in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449423/GCST90449423.tsv.gz
EST_L_HDL_PL	GCST90449424	Phospholipids in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449424/GCST90449424.tsv.gz
EST_L_HDL_P	GCST90449425	Concentration of large HDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449425/GCST90449425.tsv.gz
EST_L_HDL_TG_pct	GCST90449426	Triglycerides to total lipids ratio in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449426/GCST90449426.tsv.gz
EST_L_HDL_TG	GCST90449427	Triglycerides in large HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449427/GCST90449427.tsv.gz
EST_L_LDL_CE_pct	GCST90449428	Cholesteryl esters to total lipids ratio in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449428/GCST90449428.tsv.gz
EST_L_LDL_CE	GCST90449429	Cholesteryl esters in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449429/GCST90449429.tsv.gz
EST_L_LDL_C_pct	GCST90449430	Cholesterol to total lipids ratio in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449430/GCST90449430.tsv.gz
EST_L_LDL_C	GCST90449431	Cholesterol in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449431/GCST90449431.tsv.gz
EST_L_LDL_FC_pct	GCST90449432	Free cholesterol to total lipids ratio in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449432/GCST90449432.tsv.gz
EST_L_LDL_FC	GCST90449433	Free cholesterol in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449433/GCST90449433.tsv.gz
EST_L_LDL_L	GCST90449434	Total lipids in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449434/GCST90449434.tsv.gz
EST_L_LDL_PL_pct	GCST90449435	Phospholipids to total lipids ratio in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449435/GCST90449435.tsv.gz
EST_L_LDL_PL	GCST90449436	Phospholipids in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449436/GCST90449436.tsv.gz
EST_L_LDL_P	GCST90449437	Concentration of large LDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449437/GCST90449437.tsv.gz
EST_L_LDL_TG_pct	GCST90449438	Triglycerides to total lipids ratio in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449438/GCST90449438.tsv.gz
EST_L_LDL_TG	GCST90449439	Triglycerides in large LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449439/GCST90449439.tsv.gz
EST_L_VLDL_CE_pct	GCST90449440	Cholesteryl esters to total lipids ratio in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449440/GCST90449440.tsv.gz
EST_L_VLDL_CE	GCST90449441	Cholesteryl esters in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449441/GCST90449441.tsv.gz
EST_L_VLDL_C_pct	GCST90449442	Cholesterol to total lipids ratio in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449442/GCST90449442.tsv.gz
EST_L_VLDL_C	GCST90449443	Cholesterol in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449443/GCST90449443.tsv.gz
EST_L_VLDL_FC_pct	GCST90449444	Free cholesterol to total lipids ratio in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449444/GCST90449444.tsv.gz
EST_L_VLDL_FC	GCST90449445	Free cholesterol in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449445/GCST90449445.tsv.gz
EST_L_VLDL_L	GCST90449446	Total lipids in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449446/GCST90449446.tsv.gz
EST_L_VLDL_PL_pct	GCST90449447	Phospholipids to total lipids ratio in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449447/GCST90449447.tsv.gz
EST_L_VLDL_PL	GCST90449448	Phospholipids in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449448/GCST90449448.tsv.gz
EST_L_VLDL_P	GCST90449449	Concentration of large VLDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449449/GCST90449449.tsv.gz
EST_L_VLDL_TG_pct	GCST90449450	Triglycerides to total lipids ratio in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449450/GCST90449450.tsv.gz
EST_L_VLDL_TG	GCST90449451	Triglycerides in large VLDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449451/GCST90449451.tsv.gz
EST_M_HDL_CE_pct	GCST90449452	Cholesteryl esters to total lipids ratio in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449452/GCST90449452.tsv.gz
EST_M_HDL_CE	GCST90449453	Cholesteryl esters in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449453/GCST90449453.tsv.gz
EST_M_HDL_C_pct	GCST90449454	Cholesterol to total lipids ratio in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449454/GCST90449454.tsv.gz
EST_M_HDL_C	GCST90449455	Cholesterol in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449455/GCST90449455.tsv.gz
EST_M_HDL_FC_pct	GCST90449456	Free cholesterol to total lipids ratio in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449456/GCST90449456.tsv.gz
EST_M_HDL_FC	GCST90449457	Free cholesterol in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449457/GCST90449457.tsv.gz
EST_M_HDL_L	GCST90449458	Total lipids in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449458/GCST90449458.tsv.gz
EST_M_HDL_PL_pct	GCST90449459	Phospholipids to total lipids ratio in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449459/GCST90449459.tsv.gz
EST_M_HDL_PL	GCST90449460	Phospholipids in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449460/GCST90449460.tsv.gz
EST_M_HDL_P	GCST90449461	Concentration of medium HDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449461/GCST90449461.tsv.gz
EST_M_HDL_TG_pct	GCST90449462	Triglycerides to total lipids ratio in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449462/GCST90449462.tsv.gz
EST_M_HDL_TG	GCST90449463	Triglycerides in medium HDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449463/GCST90449463.tsv.gz
EST_M_LDL_CE_pct	GCST90449464	Cholesteryl esters to total lipids ratio in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449464/GCST90449464.tsv.gz
EST_M_LDL_CE	GCST90449465	Cholesteryl esters in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449465/GCST90449465.tsv.gz
EST_M_LDL_C_pct	GCST90449466	Cholesterol to total lipids ratio in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449466/GCST90449466.tsv.gz
EST_M_LDL_C	GCST90449467	Cholesterol in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449467/GCST90449467.tsv.gz
EST_M_LDL_FC_pct	GCST90449468	Free cholesterol to total lipids ratio in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449468/GCST90449468.tsv.gz
EST_M_LDL_FC	GCST90449469	Free cholesterol in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449469/GCST90449469.tsv.gz
EST_M_LDL_L	GCST90449470	Total lipids in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449470/GCST90449470.tsv.gz
EST_M_LDL_PL_pct	GCST90449471	Phospholipids to total lipids ratio in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449471/GCST90449471.tsv.gz
EST_M_LDL_PL	GCST90449472	Phospholipids in medium LDL	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449472/GCST90449472.tsv.gz
EST_M_LDL_P	GCST90449473	Concentration of medium LDL particles	EstBB	EstBB WGS (n=2695)	26173594	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449473/GCST90449473.tsv.gz
